
Table/View                      Schema          Type  Creation time
SA_FBEQP_PORT_M                 FDW             T     2007-05-21-22.46.20.763001
SA_FBEQP_PROCRES_M              FDW             T     2007-05-21-22.46.20.853001
SA_FBEQP_RPARM_M                FDW             T     2007-05-21-22.46.20.973001
SA_FBEQP_RTCLPODPORT_M          FDW             T     2007-05-21-22.46.21.083001
SA_FBEQP_SPECTRL_M              FDW             T     2007-05-21-22.46.21.223001
SA_FBEQP_STOCKER_M              FDW             T     2007-05-21-22.46.21.354001
SA_FBEQP_UD_M                   FDW             T     2007-05-21-22.46.21.544001
SA_FBEQP_WHATSNEXT_M            FDW             T     2007-05-21-22.46.21.654001
SA_FBEQP_WHERENEXT_M            FDW             T     2007-05-21-22.46.21.744001
SA_FBEQPCAT                     FDW             T     2007-05-21-22.46.21.974001
SA_FBEQPCAT_M                   FDW             T     2007-05-21-22.46.22.105001
SA_FBEQPTYPE                    FDW             T     2007-05-21-22.46.22.766001
SA_FBEQPTYPE_M                  FDW             T     2007-05-21-22.46.22.826001
SA_FBEQPTYPE_UD_M               FDW             T     2007-05-21-22.46.22.946001
SA_FBEQST                       FDW             T     2007-05-21-22.46.23.116001
SA_FBEQST_CV_M                  FDW             T     2007-05-21-22.46.23.296001
SA_FBEQST_M                     FDW             T     2007-05-21-22.46.23.186001
SA_FBEQST_NXT_M                 FDW             T     2007-05-21-22.46.23.497001
SA_FBEQST_SLTTYPE_M             FDW             T     2007-05-21-22.46.23.587001
SA_FBEQST_UD_M                  FDW             T     2007-05-21-22.46.23.817001
SA_FBFIXTR                      FDW             T     2007-05-21-22.46.23.887001
SA_FBFIXTR_M                    FDW             T     2007-05-21-22.46.23.977001
SA_FBFIXTR_UD_M                 FDW             T     2007-05-21-22.46.24.148001
SA_FBFIXTRCAT                   FDW             T     2007-05-21-22.46.24.268001
SA_FBFIXTRCAT_M                 FDW             T     2007-05-21-22.46.24.468000
SA_FBFIXTRCAT_UD_M              FDW             T     2007-05-21-22.46.24.548001
SA_FBFIXTRGRP                   FDW             T     2007-05-21-22.46.24.818001
SA_FBFIXTRGRP_M                 FDW             T     2007-05-21-22.46.24.909001
SA_FBFIXTRGRP_UD_M              FDW             T     2007-05-21-22.46.25.009001
SA_FBINSPTYPE                   FDW             T     2007-05-21-22.46.25.149001
SA_FBINSPTYPE_M                 FDW             T     2007-05-21-22.46.25.309001
SA_FBLOCATION                   FDW             T     2007-05-21-22.46.25.419001
SA_FBLOCATION_M                 FDW             T     2007-05-21-22.46.25.560001
SA_FBLOCATION_UD_M              FDW             T     2007-05-21-22.46.25.660000
SA_FBLRCP                       FDW             T     2007-05-21-22.46.25.820001
SA_FBLRCP_DSET_FXTR_M           FDW             T     2007-05-21-22.46.26.210001
SA_FBLRCP_DSET_M                FDW             T     2007-05-21-22.46.26.070001
SA_FBLRCP_DSET_PRSS_M           FDW             T     2007-05-21-22.46.26.401001
SA_FBLRCP_DSET_PRST_M           FDW             T     2007-05-21-22.46.26.531001
SA_FBLRCP_DSET_RPRM_M           FDW             T     2007-05-21-22.46.26.651001
SA_FBLRCP_M                     FDW             T     2007-05-21-22.46.25.950001
SA_FBLRCP_SSET_M                FDW             T     2007-05-21-22.46.26.761001
SA_FBLRCP_SSET_PRSS_M           FDW             T     2007-05-21-22.46.26.891001
SA_FBLRCP_SSET_PRST_M           FDW             T     2007-05-21-22.46.26.982001
SA_FBLRCP_SSET_RPRM_M           FDW             T     2007-05-21-22.46.27.072001
SA_FBLRCP_UD_M                  FDW             T     2007-05-21-22.46.27.162001
SA_FBLTTYPE                     FDW             T     2007-05-21-22.46.27.252001
SA_FBLTTYPE_M                   FDW             T     2007-05-21-22.46.27.422000
SA_FBLTTYPE_SLTTYPE_M           FDW             T     2007-05-21-22.46.27.653001
