
Table/View                      Schema          Type  Creation time
DMD_STAGE                       DEVMINER        T     2007-05-30-18.57.07.236109
DMD_STAGE_ARC                   DEVMINER        T     2007-05-30-18.57.07.453328
DMD_STAGEGRP                    DEVMINER        T     2007-05-30-18.57.07.314682
DMD_STAGEGRP_ARC                DEVMINER        T     2007-05-30-18.57.07.382437
DMD_STOCKER                     DEVMINER        T     2007-06-11-12.21.24.069158
DMD_STOCKER_ARC                 DEVMINER        T     2007-06-11-12.21.24.206390
DMD_SUBLOTTYPE                  DEVMINER        T     2007-05-31-20.04.47.772363
DMD_SUBLOTTYPE_ARC              DEVMINER        T     2007-05-31-20.04.47.890227
DMD_TECH                        DEVMINER        T     2007-05-30-18.57.07.846518
DMD_TECH_ARC                    DEVMINER        T     2007-05-30-18.57.07.921482
DMD_USER                        DEVMINER        T     2007-05-31-22.11.10.175673
DMD_USER_ALLUSER                DEVMINER        T     2007-05-30-18.57.08.339712
DMD_USER_ARC                    DEVMINER        T     2007-05-31-22.11.10.326991
DMD_USER_DEPT                   DEVMINER        T     2007-05-30-18.57.08.513424
DMD_USERAREAGRP                 DEVMINER        T     2007-05-30-18.57.08.060705
DMD_USERAREAGRP_ARC             DEVMINER        T     2007-05-30-18.57.08.128021
DMD_USERPRIVGRP                 DEVMINER        T     2007-05-30-18.57.08.198958
DMD_USERPRIVGRP_ARC             DEVMINER        T     2007-05-30-18.57.08.266608
DMD_USERUSERGRP                 DEVMINER        T     2007-05-30-18.39.31.301660
DMD_WKAREA                      DEVMINER        T     2007-05-30-18.57.08.582883
DMD_WKAREA_ARC                  DEVMINER        T     2007-05-30-18.57.08.857066
DMD_WKAREAEQP                   DEVMINER        T     2007-05-30-18.57.08.652680
DMD_WKAREAEQP_ARC               DEVMINER        T     2007-05-30-18.57.08.739416
DMR_BRMAINMODOPE                DEVMINER        T     2007-06-20-14.59.29.519478
DMR_BRMAINMODOPE_ARC            DEVMINER        T     2007-06-20-14.59.29.656241
DMR_BRMAINOPE                   DEVMINER        T     2007-06-24-10.55.10.884814
DMR_BRMAINOPE_ARC               DEVMINER        T     2007-06-24-10.55.11.251985
DMR_BRMNOPE_DDCDF               DEVMINER        T     2007-05-30-18.57.29.580012
DMR_BRMNOPE_DDCSPEC             DEVMINER        T     2007-05-30-18.57.29.651346
DMR_BRMNOPE_LAGTIME             DEVMINER        T     2007-05-30-18.57.29.803573
DMR_BRMNOPE_LAGTIME_ARC         DEVMINER        T     2007-05-30-18.57.29.880632
DMR_BRMNOPE_PRLM                DEVMINER        T     2007-05-30-18.57.29.951965
DMR_BRMNOPE_QTIME               DEVMINER        T     2007-05-30-18.57.30.024034
DMR_BRMNOPE_QTIME_ARC           DEVMINER        T     2007-05-30-18.57.30.098372
DMR_BRMNOPE_RWK                 DEVMINER        T     2007-06-20-20.29.38.064892
DMR_BRMNOPE_RWK_ARC             DEVMINER        T     2007-06-20-20.29.38.241480
DMR_BRMNOPE_RWLM                DEVMINER        T     2007-05-30-18.57.30.344000
DMR_BRMNOPE_SUB                 DEVMINER        T     2007-06-20-20.29.38.366789
DMR_BRMNOPE_SUB_ARC             DEVMINER        T     2007-06-20-20.29.38.511956
DMR_BRMODPO_DDCDF               DEVMINER        T     2007-05-30-18.57.30.593491
DMR_BRMODPO_DDCSPEC             DEVMINER        T     2007-05-30-18.57.30.665118
DMR_BRMODPO_LAGTIME             DEVMINER        T     2007-05-30-18.57.30.738576
DMR_BRMODPO_LAGTIME_ARC         DEVMINER        T     2007-05-30-18.57.30.813524
DMR_BRMODPO_MDCSPEC             DEVMINER        T     2007-05-30-18.57.30.885640
DMR_BRMODPO_PRLM                DEVMINER        T     2007-05-30-18.57.30.960656
DMR_BRMODPO_QTIME               DEVMINER        T     2007-05-30-18.57.31.033772
DMR_BRMODPO_QTIME_ARC           DEVMINER        T     2007-05-30-18.57.31.104784
DMR_BRMODPO_RWK                 DEVMINER        T     2007-06-20-20.29.38.690735
DMR_BRMODPO_RWK_ARC             DEVMINER        T     2007-06-20-20.29.38.850578
DMR_BRMODPO_RWLM                DEVMINER        T     2007-05-30-18.57.31.380567
DMR_BRMODPO_SUB                 DEVMINER        T     2007-06-20-20.29.39.008195
DMR_BRMODPO_SUB_ARC             DEVMINER        T     2007-06-20-20.29.39.115476
DMR_BRROTCHK_IDX                DEVMINER        T     2007-05-30-18.57.31.595311
DMR_BRRTCLSETGRP                DEVMINER        T     2007-06-24-10.14.03.395208
DMR_BRRTCLSETGRP_ARC            DEVMINER        T     2007-06-24-10.14.03.513865
DMR_DAILYWIP                    DEVMINER        T     2007-06-06-16.12.21.231447
DMR_DRBLUTIL                    DEVMINER        T     2007-05-30-18.57.09.014815
DMR_EDCCPK                      DEVMINER        T     2007-05-30-18.57.09.083550
DMR_FABIO                       DEVMINER        T     2007-05-30-18.57.16.158478
DMR_FABIOD                      DEVMINER        T     2007-06-08-15.53.32.763275
DMR_FHLDHS                      DEVMINER        T     2007-05-30-18.57.16.314373
